epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,1.915770e+02,1.775627e+06,6.976700e-01,1.407520e+00,-531389.285,4.657011e+01,3.503627e+05,4.871367e-01,1.332493e+00,-451961.898,1.000000e-05,7.33,7.33
2,2.259708e+01,1.372447e+05,3.067162e-01,1.161090e+00,-225006.402,1.238594e+01,5.408228e+04,1.699133e-01,1.055715e+00,-80821.711,1.500000e-05,5.49,12.82
3,1.233641e+01,6.491268e+04,1.040460e-01,9.609354e-01,61951.691,8.114946e+00,3.276860e+04,5.158557e-02,8.644462e-01,211494.375,2.000000e-05,5.05,17.87
4,7.975561e+00,3.738353e+04,2.515830e-02,7.971250e-01,324919.730,5.366846e+00,1.859620e+04,9.573965e-03,6.822971e-01,523732.455,2.500000e-05,4.75,22.62
5,4.829359e+00,2.171725e+04,5.794566e-03,5.199376e-01,856306.458,4.224350e+00,2.424612e+04,3.247129e-03,3.534534e-01,1241334.904,3.000000e-05,4.74,27.35
6,3.018768e+00,1.851521e+04,4.100053e-03,2.252493e-01,1651715.300,2.079171e+00,1.312946e+04,2.385766e-03,1.484734e-01,1943689.766,3.500000e-05,4.91,32.27
7,2.201618e+00,1.629294e+04,2.382791e-03,1.096992e-01,2144808.945,1.463292e+00,1.105808e+04,7.839611e-04,6.992881e-02,2403888.012,4.000000e-05,5.17,37.44
8,1.742872e+00,1.369327e+04,1.130785e-03,7.244744e-02,2374423.059,1.992755e+00,1.667212e+04,2.780876e-03,5.954685e-02,2431929.086,4.500000e-05,4.99,42.42
9,1.259137e+00,9.995371e+03,8.287972e-04,5.026245e-02,2511272.745,1.159145e+00,8.394394e+03,3.672419e-04,6.320668e-02,2339012.133,5.000000e-05,4.98,47.40
10,1.087692e+00,8.893678e+03,9.785121e-04,3.770779e-02,2561404.055,9.337210e-01,7.612200e+03,8.812626e-04,3.273768e-02,2588343.797,5.500000e-05,5.24,52.64
11,7.607163e-01,6.299280e+03,1.025948e-03,2.410576e-02,2679336.121,4.905935e-01,4.270527e+03,4.186468e-04,1.187086e-02,2839579.609,6.000000e-05,4.91,57.55
12,6.787108e-01,5.785861e+03,1.209367e-03,1.760621e-02,2739035.277,4.179033e-01,3.724104e+03,1.002112e-03,7.094364e-03,2875438.859,6.500000e-05,5.66,63.21
13,4.565165e-01,3.897549e+03,1.180995e-03,1.099034e-02,2804746.635,2.658015e-01,1.951874e+03,1.229981e-03,1.166285e-02,2715797.766,7.000000e-05,5.35,68.56
14,3.503398e-01,3.068421e+03,1.178881e-03,6.341771e-03,2856022.656,2.654428e-01,2.238957e+03,2.149189e-03,4.011053e-03,2903721.273,7.500000e-05,5.16,73.72
15,2.623481e-01,2.213711e+03,1.232067e-03,5.731262e-03,2891201.955,2.219549e-01,1.696300e+03,2.495579e-03,5.473831e-03,2797433.914,8.000000e-05,5.00,78.72
16,2.545409e-01,2.087112e+03,1.330290e-03,6.505362e-03,2902022.510,1.998606e-01,1.536432e+03,8.645710e-04,7.514321e-03,2804542.547,8.500000e-05,4.68,83.40
17,1.790398e-01,1.389568e+03,1.586898e-03,4.842801e-03,2922704.137,1.166490e-01,8.802397e+02,1.839203e-03,2.046604e-03,2930080.766,9.000000e-05,5.24,88.64
18,1.494903e-01,1.040071e+03,1.600834e-03,5.894968e-03,2931768.482,1.528289e-01,1.140903e+03,2.688606e-03,2.370510e-03,2981495.250,9.500000e-05,5.34,93.99
19,1.351676e-01,9.837967e+02,1.564843e-03,4.227907e-03,2944081.387,1.151397e-01,6.646789e+02,4.405199e-03,9.239599e-04,2963177.180,1.000000e-04,5.54,99.53
20,1.311653e-01,7.982865e+02,2.236906e-03,5.793521e-03,2940729.281,1.056186e-01,9.205335e+02,1.023452e-03,6.661453e-04,3022537.586,1.050000e-04,5.50,105.03
21,1.209282e-01,8.049324e+02,1.733772e-03,4.619446e-03,2950774.092,7.359258e-02,4.417877e+02,2.462933e-03,9.568964e-04,2924928.039,1.100000e-04,5.40,110.42
22,1.176133e-01,6.866599e+02,1.951073e-03,5.887314e-03,2948212.717,6.240251e-02,4.381790e+02,1.582122e-03,5.526774e-04,3029336.234,1.150000e-04,4.96,115.39
23,1.049626e-01,5.978784e+02,2.019300e-03,4.996347e-03,2954178.537,6.428256e-02,4.985366e+02,1.174837e-03,5.361058e-04,2967671.148,1.200000e-04,5.35,120.74
24,9.725107e-02,5.699351e+02,2.051327e-03,3.948858e-03,2955422.699,1.033559e-01,7.025861e+02,1.494733e-03,3.629989e-03,3158218.539,1.250000e-04,5.02,125.76
25,1.113948e-01,5.614344e+02,2.420189e-03,6.209902e-03,2953142.570,1.013109e-01,6.726907e+02,2.243128e-03,2.322117e-03,3126887.312,1.300000e-04,5.60,131.36
26,9.881654e-02,4.676537e+02,2.762140e-03,4.885956e-03,2956610.266,6.163202e-02,3.170670e+02,1.833505e-03,2.318055e-03,2893348.289,1.350000e-04,5.02,136.38
27,9.234346e-02,4.707742e+02,2.352995e-03,4.347218e-03,2959985.025,8.410757e-02,5.035332e+02,2.949481e-03,8.518865e-04,3046453.781,1.400000e-04,5.33,141.71
28,8.444802e-02,4.191208e+02,2.358309e-03,3.790570e-03,2961953.684,1.522231e-01,3.241984e+02,3.661977e-03,1.663670e-02,3329659.711,1.450000e-04,5.08,146.79
29,9.280830e-02,3.844185e+02,3.107888e-03,4.657514e-03,2961616.662,9.939922e-02,5.387321e+02,4.223003e-03,6.591953e-04,3031215.797,1.500000e-04,5.59,152.37
30,8.840621e-02,4.598814e+02,2.434598e-03,3.614417e-03,2961918.562,6.895730e-02,3.624555e+02,1.300569e-03,3.941211e-03,3054281.555,1.550000e-04,5.28,157.65
31,9.302876e-02,4.181403e+02,2.817720e-03,4.607508e-03,2958289.996,1.330880e-01,3.871907e+02,1.570612e-03,1.573256e-02,3354592.500,1.600000e-04,4.89,162.54
32,9.450016e-02,4.323711e+02,2.530637e-03,5.191333e-03,2962387.475,7.706549e-02,3.746338e+02,1.314543e-03,5.291337e-03,2792610.617,1.650000e-04,5.38,167.92
33,8.879171e-02,4.335104e+02,2.625015e-03,3.838106e-03,2960617.324,6.624424e-02,4.000072e+02,1.739739e-03,1.769225e-03,3102498.625,1.700000e-04,5.47,173.40
