epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,1.279657e+01,7.874650e+04,3.830544e-03,9.767222e-01,35771.597,5.886678e+00,9.448661e+03,3.638382e-03,9.810855e-01,28555.625,1.000000e-05,6.11,6.11
2,5.064986e+00,2.303887e+03,1.709661e-03,9.635001e-01,55418.001,4.756884e+00,1.245395e+03,2.266425e-04,9.260157e-01,113220.903,1.500000e-05,4.63,10.74
3,4.368612e+00,1.313144e+03,4.832620e-05,8.473629e-01,240400.341,3.912183e+00,1.336514e+03,3.294461e-05,7.556404e-01,394151.300,2.000000e-05,5.97,16.71
4,2.913137e+00,2.756278e+03,4.721631e-05,5.274074e-01,859651.827,1.861495e+00,4.150145e+03,6.311149e-05,2.891699e-01,1440327.271,2.500000e-05,4.60,21.31
5,1.342272e+00,5.332579e+03,8.285597e-05,1.616371e-01,1987297.472,1.012105e+00,5.086511e+03,9.650542e-05,1.004977e-01,2310410.586,3.000000e-05,5.43,26.74
6,9.656875e-01,4.968058e+03,9.707050e-05,9.358220e-02,2405775.621,8.332024e-01,4.537758e+03,9.460099e-05,7.569611e-02,2482807.879,3.500000e-05,5.23,31.97
7,8.252394e-01,4.499859e+03,9.461085e-05,7.486149e-02,2522147.306,7.127047e-01,3.753495e+03,8.731604e-05,6.729642e-02,2481607.305,4.000000e-05,4.99,36.96
8,7.073843e-01,4.093565e+03,8.918526e-05,5.942720e-02,2569241.949,5.965192e-01,3.549345e+03,9.002855e-05,4.813688e-02,2612398.578,4.500000e-05,4.96,41.92
9,5.993346e-01,3.795237e+03,1.020428e-04,4.375810e-02,2654905.079,4.747101e-01,3.037743e+03,1.211931e-04,3.394477e-02,2655568.648,5.000000e-05,4.95,46.87
10,5.082222e-01,3.649516e+03,1.867332e-04,2.828064e-02,2720640.246,7.345456e-01,6.244700e+03,2.943824e-04,2.142636e-02,2703903.320,5.500000e-05,5.13,52.00
11,3.796132e-01,2.948783e+03,5.291630e-04,1.588865e-02,2785776.342,2.742333e-01,2.177736e+03,9.177226e-04,9.456503e-03,2877412.398,6.000000e-05,5.21,57.20
12,2.659586e-01,2.116310e+03,1.489933e-03,7.885654e-03,2852739.812,2.187159e-01,1.744236e+03,1.995812e-03,4.866837e-03,2887961.273,6.500000e-05,4.78,61.99
13,2.140826e-01,1.685209e+03,2.183408e-03,4.745527e-03,2882950.805,2.022728e-01,1.583328e+03,2.349962e-03,4.088080e-03,2875002.156,7.000000e-05,4.81,66.79
14,1.964748e-01,1.535679e+03,2.307395e-03,3.966605e-03,2890219.471,1.815451e-01,1.424035e+03,2.489349e-03,2.849619e-03,2900074.578,7.500000e-05,4.85,71.65
15,1.689608e-01,1.280259e+03,2.325445e-03,3.536095e-03,2905512.828,1.379828e-01,9.763894e+02,2.201679e-03,3.665416e-03,2882737.219,8.000000e-05,5.13,76.78
16,1.488614e-01,1.099071e+03,2.247452e-03,3.295949e-03,2917379.248,1.515358e-01,1.156890e+03,2.252330e-03,2.664709e-03,2937805.891,8.500000e-05,4.54,81.31
17,1.279084e-01,9.155096e+02,2.032449e-03,3.206594e-03,2928430.785,1.450027e-01,1.099530e+03,1.937934e-03,3.134070e-03,2868180.672,9.000000e-05,4.48,85.80
18,1.186329e-01,8.460939e+02,1.828666e-03,3.147376e-03,2934767.369,8.691424e-02,5.827283e+02,1.780646e-03,2.166990e-03,2911331.430,9.500000e-05,4.66,90.45
19,9.331682e-02,6.267507e+02,1.628101e-03,2.872149e-03,2947971.135,8.601645e-02,4.813819e+02,1.391828e-03,4.791998e-03,2817920.508,1.000000e-04,5.12,95.57
20,7.422418e-02,4.876559e+02,1.441739e-03,2.208239e-03,2953721.301,8.896455e-02,5.079243e+02,1.500144e-03,4.634136e-03,3182536.422,1.050000e-04,4.46,100.03
21,6.279319e-02,4.220099e+02,1.281191e-03,1.556059e-03,2966730.400,6.355747e-02,4.772464e+02,1.276242e-03,6.140823e-04,3013701.820,1.100000e-04,5.29,105.32
22,5.274694e-02,3.283613e+02,1.247912e-03,1.486339e-03,2970274.877,5.561192e-02,3.679779e+02,1.146442e-03,1.469943e-03,2948984.531,1.150000e-04,5.73,111.05
23,4.672076e-02,2.886568e+02,1.229312e-03,1.112393e-03,2974240.535,7.055624e-02,4.244022e+02,1.146976e-03,3.329250e-03,2840946.461,1.200000e-04,5.07,116.12
24,4.559422e-02,2.615546e+02,1.256207e-03,1.375337e-03,2973075.592,4.303361e-02,2.525506e+02,1.153520e-03,1.248669e-03,2916313.047,1.250000e-04,5.48,121.60
25,4.362780e-02,2.406449e+02,1.210729e-03,1.491205e-03,2975490.260,3.471074e-02,2.102127e+02,1.190720e-03,3.564538e-04,2975952.125,1.300000e-04,5.08,126.68
26,4.084337e-02,2.228259e+02,1.183825e-03,1.344508e-03,2975835.281,3.531834e-02,2.184833e+02,1.194186e-03,3.056316e-04,2984830.492,1.350000e-04,4.85,131.53
27,3.702309e-02,2.158604e+02,1.108463e-03,8.704836e-04,2979566.912,3.601648e-02,2.275040e+02,1.052578e-03,5.480597e-04,3038769.586,1.400000e-04,5.07,136.60
28,3.492727e-02,2.050337e+02,1.027718e-03,8.293430e-04,2980037.611,4.411582e-02,2.104646e+02,9.042271e-04,2.805419e-03,2854169.359,1.450000e-04,4.92,141.52
