epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,4.913283e+00,9.602943e-02,3.094966e-03,9.764647e-01,35650.106,4.714396e+00,4.077732e-01,1.329792e-03,9.402114e-01,91179.251,1.000000e-05,14.85,14.85
2,4.038959e+00,5.864122e+00,1.239727e-03,8.051951e-01,313741.590,3.225736e+00,1.868112e+01,1.720314e-03,6.413329e-01,602762.595,1.500000e-05,11.46,26.31
3,1.832443e+00,9.474071e+01,2.315942e-03,3.599620e-01,1295404.632,6.172053e-01,2.374415e+02,3.682932e-03,1.113264e-01,2163093.312,2.000000e-05,10.20,36.51
4,3.377493e-01,3.311661e+02,3.561043e-03,5.380445e-02,2663284.666,2.111952e-01,3.313880e+02,2.603754e-03,3.040377e-02,2705614.266,2.500000e-05,10.39,46.90
5,1.603185e-01,3.557376e+02,2.435068e-03,2.007882e-02,2861467.068,1.132019e-01,3.327352e+02,1.797428e-03,1.239081e-02,2800546.719,3.000000e-05,9.61,56.51
6,1.023804e-01,3.390652e+02,2.099885e-03,9.495007e-03,2930315.545,8.052070e-02,3.374788e+02,1.666611e-03,6.021343e-03,2991089.289,3.500000e-05,10.79,67.30
7,8.940285e-02,3.053566e+02,2.496506e-03,6.780426e-03,2956373.072,7.095406e-02,2.787358e+02,1.749254e-03,5.117588e-03,2931909.766,4.000000e-05,10.32,77.62
8,7.471928e-02,2.650769e+02,2.262776e-03,5.116768e-03,2956193.123,7.849695e-02,2.432054e+02,3.253957e-03,4.327368e-03,2914932.609,4.500000e-05,9.96,87.58
9,6.934564e-02,2.375638e+02,2.400432e-03,4.316987e-03,2960683.277,7.819517e-02,2.300600e+02,3.795693e-03,3.446449e-03,3016958.984,5.000000e-05,10.27,97.85
10,6.651859e-02,2.090953e+02,2.847444e-03,3.426925e-03,2965215.627,6.440903e-02,1.974588e+02,3.184085e-03,2.564459e-03,2962035.445,5.500000e-05,10.61,108.47
11,6.341631e-02,1.866025e+02,3.010258e-03,2.930696e-03,2965874.973,5.840963e-02,1.767418e+02,3.011957e-03,2.123176e-03,2947137.250,6.000000e-05,10.00,118.46
12,6.183673e-02,1.713816e+02,2.887354e-03,3.165007e-03,2969458.633,7.297115e-02,1.587216e+02,4.395364e-03,2.629071e-03,2974204.094,6.500000e-05,10.79,129.26
13,6.242583e-02,1.582754e+02,3.414823e-03,2.490012e-03,2970195.449,3.877103e-02,1.554873e+02,1.549109e-03,1.546243e-03,2983104.398,7.000000e-05,9.95,139.21
14,5.887744e-02,1.502586e+02,3.123012e-03,2.524292e-03,2971840.285,3.769409e-02,1.482466e+02,1.646656e-03,1.280575e-03,2982864.586,7.500000e-05,10.19,149.40
15,5.069989e-02,1.424430e+02,2.627756e-03,2.035606e-03,2973933.359,9.277563e-02,1.257034e+02,6.179647e-03,3.681764e-03,2843244.047,8.000000e-05,9.70,159.10
16,5.833013e-02,1.332980e+02,3.343307e-03,2.313451e-03,2973901.289,7.528578e-02,1.338789e+02,5.706387e-03,9.668039e-04,3004374.586,8.500000e-05,10.18,169.28
17,5.481916e-02,1.322119e+02,2.949930e-03,2.419734e-03,2975435.049,3.669763e-02,1.303412e+02,1.841681e-03,1.049339e-03,3046945.180,9.000000e-05,10.93,180.20
18,5.732269e-02,1.230665e+02,3.439132e-03,2.124943e-03,2973923.424,4.447085e-02,1.334948e+02,2.097707e-03,2.028860e-03,3112456.422,9.500000e-05,10.53,190.73
