epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,4.989421e+00,1.397007e-03,4.680092e-04,9.969481e-01,4582.886,4.970204e+00,4.414118e-03,8.614752e-05,9.938684e-01,9212.658,1.000000e-05,14.13,14.13
2,4.930773e+00,2.669084e-02,7.023145e-05,9.860137e-01,21067.796,4.883849e+00,6.397521e-02,5.682838e-05,9.766549e-01,35239.549,1.500000e-05,10.60,24.73
3,4.781754e+00,2.498457e-01,4.669046e-05,9.562524e-01,66482.890,4.656189e+00,5.679172e-01,4.562399e-05,9.311353e-01,105279.539,2.000000e-05,9.46,34.19
4,4.395370e+00,1.862308e+00,4.970822e-05,8.789373e-01,188679.382,4.079839e+00,4.295504e+00,7.347895e-05,8.157349e-01,291652.249,2.500000e-05,10.51,44.70
5,3.470493e+00,1.396178e+01,1.266115e-04,6.935661e-01,509596.500,2.726963e+00,3.154348e+01,2.601633e-04,5.442415e-01,798422.561,3.000000e-05,10.62,55.32
6,1.624675e+00,1.011180e+02,5.707754e-04,3.217710e-01,1394967.808,6.325242e-01,2.296799e+02,1.291351e-03,1.193285e-01,2182102.004,3.500000e-05,10.90,66.23
7,4.681764e-01,3.127602e+02,1.443147e-03,8.449378e-02,2622048.127,3.972713e-01,3.372254e+02,1.528407e-03,6.965294e-02,2733821.227,4.000000e-05,10.45,76.67
8,3.838341e-01,3.297057e+02,1.397367e-03,6.737797e-02,2776696.511,3.412810e-01,3.221955e+02,1.394425e-03,5.902344e-02,2758153.480,4.500000e-05,10.42,87.09
9,3.197547e-01,3.186961e+02,1.344447e-03,5.488812e-02,2795751.350,3.012298e-01,3.538954e+02,1.573143e-03,5.002176e-02,2949190.625,5.000000e-05,9.41,96.50
10,2.720952e-01,3.284219e+02,1.514527e-03,4.482155e-02,2870556.213,2.485880e-01,3.037412e+02,1.556463e-03,4.052986e-02,2756874.086,5.500000e-05,10.34,106.84
11,2.146710e-01,3.260768e+02,1.783041e-03,3.284658e-02,2852215.867,2.024179e-01,3.388060e+02,2.066962e-03,2.957354e-02,2907545.523,6.000000e-05,10.36,117.20
12,1.725767e-01,3.443614e+02,2.230127e-03,2.316786e-02,2894673.656,1.649302e-01,3.316375e+02,2.389336e-03,2.157463e-02,2861797.406,6.500000e-05,10.10,127.30
13,1.422534e-01,3.476501e+02,2.531292e-03,1.643510e-02,2898770.598,1.363025e-01,3.545500e+02,2.788785e-03,1.459193e-02,2959809.055,7.000000e-05,9.79,137.10
14,1.159738e-01,3.457133e+02,2.720150e-03,1.084019e-02,2931770.373,1.121055e-01,3.227099e+02,2.718749e-03,1.052941e-02,2880013.852,7.500000e-05,9.54,146.63
15,9.494782e-02,3.249705e+02,2.656735e-03,7.176683e-03,2934932.076,9.158216e-02,2.934175e+02,2.531718e-03,7.384644e-03,2884334.594,8.000000e-05,11.09,157.73
16,7.831178e-02,2.937013e+02,2.437631e-03,4.913068e-03,2947981.391,7.394016e-02,2.696051e+02,2.371528e-03,4.652875e-03,2956667.570,8.500000e-05,10.00,167.73
17,6.618881e-02,2.563977e+02,2.220613e-03,3.668583e-03,2956560.207,6.104525e-02,2.320044e+02,2.125868e-03,3.317226e-03,2963138.273,9.000000e-05,10.15,177.88
18,5.593454e-02,2.172873e+02,1.951308e-03,2.938548e-03,2963414.672,5.201634e-02,1.971413e+02,1.938815e-03,2.582813e-03,2946809.445,9.500000e-05,9.74,187.63
19,4.822801e-02,1.877979e+02,1.797333e-03,2.294980e-03,2968134.463,4.414845e-02,1.715704e+02,1.780175e-03,1.837933e-03,2962042.281,1.000000e-04,10.17,197.80
20,4.234272e-02,1.638776e+02,1.663360e-03,1.864272e-03,2972379.311,3.920985e-02,1.547370e+02,1.708142e-03,1.330946e-03,2998938.805,1.050000e-04,10.56,208.35
21,3.802755e-02,1.458228e+02,1.552514e-03,1.584027e-03,2976495.480,3.552498e-02,1.413917e+02,1.622063e-03,1.033037e-03,2991545.844,1.100000e-04,10.08,218.43
22,3.498470e-02,1.346989e+02,1.494892e-03,1.313177e-03,2976418.727,3.289091e-02,1.314627e+02,1.538218e-03,8.724908e-04,2999688.758,1.150000e-04,10.76,229.19
23,3.267669e-02,1.254213e+02,1.419006e-03,1.188901e-03,2981217.645,3.096381e-02,1.202365e+02,1.460570e-03,8.668939e-04,2968005.742,1.200000e-04,10.58,239.77
