epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,1.765534e+06,1.764985e+10,1.107334e+00,1.075724e+02,372039.164,1.596009e+06,1.595578e+10,1.052539e+00,8.415305e+01,-4098345.844,1.000000e-05,10.81,10.81
2,1.373707e+06,1.373168e+10,9.947373e-01,1.058600e+02,-2467142.535,1.273461e+06,1.273030e+10,9.452569e-01,8.430917e+01,-3920914.688,1.500000e-05,10.72,21.54
3,1.107446e+06,1.106994e+10,9.082317e-01,8.841966e+01,-2661495.773,1.035963e+06,1.035581e+10,8.624278e-01,7.465976e+01,-2420279.500,2.000000e-05,9.60,31.14
4,9.107096e+05,9.103348e+09,8.363475e-01,7.329633e+01,-3137975.648,8.505454e+05,8.501807e+09,7.924422e-01,7.135437e+01,-2890671.812,2.500000e-05,9.96,41.10
5,7.524518e+05,7.521665e+09,7.636565e-01,5.554148e+01,-1344824.656,7.045337e+05,7.042216e+09,7.306985e-01,6.096124e+01,-2545187.312,3.000000e-05,9.66,50.76
6,6.224849e+05,6.222283e+09,6.932692e-01,4.995268e+01,32091.016,5.996515e+05,5.993080e+09,6.637308e-01,6.737877e+01,-2479755.781,3.500000e-05,9.66,60.41
7,5.265594e+05,5.263501e+09,6.308714e-01,4.061790e+01,118815.586,4.806045e+05,4.803251e+09,5.976209e-01,5.468746e+01,-2393159.453,4.000000e-05,9.22,69.64
8,4.283124e+05,4.281503e+09,5.662548e-01,3.129256e+01,269521.703,4.166502e+05,4.164250e+09,5.355242e-01,4.396314e+01,-1412317.875,4.500000e-05,9.89,79.53
9,3.576009e+05,3.574596e+09,5.029445e-01,2.725726e+01,58417.625,3.241091e+05,3.239390e+09,4.751266e-01,3.306195e+01,-1850866.312,5.000000e-05,9.91,89.44
10,2.866998e+05,2.865844e+09,4.373849e-01,2.220203e+01,-118836.871,2.670332e+05,2.668920e+09,4.117558e-01,2.741887e+01,-1283393.641,5.500000e-05,9.94,99.38
11,2.240240e+05,2.239411e+09,3.716439e-01,1.583089e+01,557795.844,2.063134e+05,2.061979e+09,3.386881e-01,2.240690e+01,-1008789.922,6.000000e-05,9.94,109.32
12,1.787107e+05,1.786402e+09,3.074243e-01,1.348806e+01,342537.582,2.007403e+05,2.006465e+09,2.755051e-01,1.819960e+01,-863419.203,6.500000e-05,10.21,119.53
13,1.276210e+05,1.275717e+09,2.420110e-01,9.386658e+00,438636.358,1.054491e+05,1.053829e+09,2.108593e-01,1.281174e+01,107277.031,7.000000e-05,9.92,129.45
