epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,4.968151e+00,3.259350e-04,6.200778e-04,9.923900e-01,11449.245,4.935610e+00,8.849742e-04,3.077184e-04,9.865065e-01,20324.314,1.000000e-05,8.93,8.93
2,4.878413e+00,3.538837e-03,8.588200e-04,9.739649e-01,39400.206,4.819227e+00,7.579131e-03,1.535407e-03,9.607744e-01,59559.844,1.500000e-05,7.46,16.39
3,4.729219e+00,1.881795e-02,3.308778e-03,9.392259e-01,93056.768,4.637933e+00,3.449354e-02,5.097750e-03,9.173903e-01,127204.976,2.000000e-05,7.45,23.85
4,4.500843e+00,7.130719e-02,8.324687e-03,8.835178e-01,181907.740,4.352431e+00,1.280356e-01,1.296793e-02,8.445477e-01,245431.800,2.500000e-05,7.53,31.37
5,4.118660e+00,2.582976e-01,1.852197e-02,7.866828e-01,345539.222,3.831851e+00,4.672107e-01,2.467484e-02,7.170112e-01,469196.337,3.000000e-05,8.60,39.97
6,3.378405e+00,1.033786e+00,3.315485e-02,6.093506e-01,686580.445,2.786200e+00,2.070956e+00,4.120139e-02,4.747957e-01,982590.805,3.500000e-05,8.17,48.14
7,2.223134e+00,4.353719e+00,5.101508e-02,3.425095e-01,1399223.578,1.795586e+00,6.728369e+00,5.383494e-02,2.513128e-01,1728453.160,4.000000e-05,7.38,55.52
8,1.692007e+00,7.505911e+00,4.896912e-02,2.403131e-01,1841124.925,1.548624e+00,9.089231e+00,5.080913e-02,2.079248e-01,2022106.430,4.500000e-05,7.38,62.90
9,1.496226e+00,9.300124e+00,4.175807e-02,2.155431e-01,2076532.732,1.377081e+00,9.093833e+00,3.288703e-02,2.094603e-01,2050916.137,5.000000e-05,7.84,70.75
10,1.359245e+00,9.667020e+00,3.070984e-02,2.102359e-01,2134622.396,1.255894e+00,1.041441e+01,2.860788e-02,1.937548e-01,2199265.875,5.500000e-05,7.41,78.16
11,1.251688e+00,1.042731e+01,2.594238e-02,1.982442e-01,2217474.236,1.153493e+00,1.081856e+01,2.430235e-02,1.818776e-01,2239688.770,6.000000e-05,8.62,86.78
12,1.168131e+00,1.119212e+01,2.358382e-02,1.862347e-01,2289618.806,1.079997e+00,1.218700e+01,2.519585e-02,1.653639e-01,2369978.832,6.500000e-05,7.75,94.53
13,1.104960e+00,1.222813e+01,2.396350e-02,1.728204e-01,2384621.322,1.017746e+00,1.183556e+01,2.274164e-02,1.578292e-01,2326297.488,7.000000e-05,7.97,102.50
14,1.026372e+00,1.233277e+01,2.128937e-02,1.624489e-01,2383013.409,9.448664e-01,1.258780e+01,2.026299e-02,1.481955e-01,2387897.957,7.500000e-05,8.66,111.16
15,9.777994e-01,1.278288e+01,2.006586e-02,1.551725e-01,2407813.608,8.929999e-01,1.356668e+01,2.006264e-02,1.382034e-01,2465507.723,8.000000e-05,8.32,119.48
16,9.121493e-01,1.313505e+01,1.975833e-02,1.426505e-01,2424775.054,8.963674e-01,1.661684e+01,2.586390e-02,1.272133e-01,2705931.496,8.500000e-05,8.08,127.56
17,8.714590e-01,1.532650e+01,2.275043e-02,1.284844e-01,2592621.622,8.661177e-01,1.169768e+01,1.773936e-02,1.375109e-01,2250549.941,9.000000e-05,7.28,134.84
18,8.452692e-01,1.426274e+01,2.009559e-02,1.285774e-01,2482044.820,8.073664e-01,1.555644e+01,2.357400e-02,1.140142e-01,2586135.699,9.500000e-05,7.85,142.69
19,8.034456e-01,1.509923e+01,2.009209e-02,1.202029e-01,2541013.562,7.486027e-01,1.621039e+01,2.160304e-02,1.061903e-01,2613285.324,1.000000e-04,7.99,150.68
