epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,6.285403e+02,6.025395e+06,5.114496e-01,4.177258e+00,3390568.702,2.880876e+02,2.716037e+06,5.174625e-01,2.261861e+00,3833428.051,1.000000e-05,12.87,12.87
2,2.022119e+02,1.922219e+06,5.701307e-01,8.577327e-01,2393265.204,1.224744e+02,1.144565e+06,6.099444e-01,3.836879e-01,2152358.854,1.500000e-05,8.49,21.36
3,1.303202e+02,1.218751e+06,5.639672e-01,5.610861e-01,2030415.802,7.777110e+01,6.972465e+05,5.357193e-01,5.378520e-01,2285971.955,2.000000e-05,8.56,29.93
4,1.063539e+02,9.831553e+05,5.022020e-01,6.032661e-01,1936247.323,7.590527e+01,7.013261e+05,4.376050e-01,2.793234e-01,3785991.699,2.500000e-05,8.53,38.45
5,8.328616e+01,7.678301e+05,3.444019e-01,6.118252e-01,1964135.209,8.804662e+01,8.385063e+05,2.627777e-01,3.136436e-01,1681295.905,3.000000e-05,8.81,47.26
6,8.727904e+01,8.131600e+05,3.324016e-01,5.278050e-01,2124029.386,1.569521e+02,1.420923e+06,3.004980e-01,2.370961e+00,-878055.291,3.500000e-05,8.37,55.63
7,8.369099e+01,7.702354e+05,3.360445e-01,6.614007e-01,2142462.864,3.481498e+01,2.918163e+05,2.663802e-01,5.939105e-01,853219.242,4.000000e-05,9.00,64.63
8,6.152460e+01,5.664586e+05,2.333162e-01,5.091161e-01,2180619.898,7.528783e+01,6.624665e+05,2.896787e-01,1.228879e+00,30897.115,4.500000e-05,8.61,73.24
9,9.110577e+01,8.600905e+05,2.772651e-01,4.648152e-01,2334820.252,4.780370e+01,4.498539e+05,1.731973e-01,2.172684e-01,2875082.186,5.000000e-05,9.02,82.27
10,1.175783e+02,1.120388e+06,1.821172e-01,7.436565e-01,1911139.171,6.862355e+01,6.385997e+05,2.438769e-01,4.649611e-01,1548674.044,5.500000e-05,8.53,90.80
11,1.451608e+02,1.398911e+06,1.708230e-01,7.122934e-01,1932828.150,6.088014e+01,5.741481e+05,8.675076e-02,5.195655e-01,1510119.086,6.000000e-05,8.91,99.71
12,9.323403e+01,8.912977e+05,1.361123e-01,5.486291e-01,2109064.009,4.549449e+01,4.328664e+05,1.266583e-01,1.882548e-01,2114235.582,6.500000e-05,8.54,108.26
13,5.011774e+01,4.761488e+05,8.632622e-02,3.279210e-01,2102658.679,5.979432e+01,5.786261e+05,1.216147e-01,1.431129e-01,3440275.352,7.000000e-05,9.07,117.34
14,4.038435e+01,3.723946e+05,1.096870e-01,4.096042e-01,1969006.733,1.831283e+01,1.684787e+05,4.271637e-02,2.075583e-01,2491700.789,7.500000e-05,8.81,126.15
15,2.027923e+01,1.826085e+05,6.170651e-02,2.802634e-01,2063344.053,4.502778e+01,4.285748e+05,3.847894e-02,3.571013e-01,1590011.507,8.000000e-05,8.72,134.90
16,1.167737e+01,1.027513e+05,4.315732e-02,1.941325e-01,2191044.318,2.277362e+01,1.608776e+05,3.906239e-02,1.259048e+00,-52976.519,8.500000e-05,8.63,143.53
17,8.611876e+00,7.159214e+04,4.948049e-02,1.915714e-01,2248572.220,1.453236e+01,1.256633e+05,1.845172e-02,3.563025e-01,1351159.182,9.000000e-05,8.67,152.20
18,6.130870e+00,4.953117e+04,5.203373e-02,1.314832e-01,2359339.417,2.095622e+00,1.555384e+04,2.993078e-02,4.818599e-02,2634280.574,9.500000e-05,8.33,160.53
19,3.037060e+00,2.271837e+04,3.656127e-02,7.992194e-02,2516708.936,4.210669e+00,1.968352e+04,5.552764e-02,3.374082e-01,1453032.688,1.000000e-04,8.69,169.22
20,3.068240e+00,2.184136e+04,4.176178e-02,9.329725e-02,2445758.805,1.732791e+00,1.281450e+04,2.127963e-02,4.770901e-02,2669780.336,1.050000e-04,8.54,177.80
21,2.187814e+00,1.421056e+04,3.310502e-02,8.714159e-02,2544254.128,3.261330e+00,2.512310e+04,2.372092e-02,1.023621e-01,2185042.102,1.100000e-04,9.10,186.90
22,1.759167e+00,1.101696e+04,3.197034e-02,6.755367e-02,2576891.563,9.252990e-01,4.560007e+03,2.615659e-02,4.154648e-02,2542029.969,1.150000e-04,8.89,195.79
