epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
1,2.287833e+01,1.095359e+05,5.841369e-02,2.268122e+00,-1209204.265,3.878984e+00,1.635653e+04,2.146919e-03,4.443722e-01,1011503.670,1.000000e-05,9.50,9.50
2,2.571216e+00,1.180633e+04,3.266743e-03,2.715830e-01,1472976.527,2.097641e+00,9.289406e+03,3.114359e-03,2.275114e-01,1610562.477,1.500000e-05,8.62,18.12
3,1.920374e+00,9.279693e+03,4.277779e-03,1.899254e-01,1779188.655,1.666702e+00,7.518662e+03,5.367285e-03,1.722327e-01,1857762.211,2.000000e-05,8.93,27.06
4,1.605056e+00,7.480015e+03,7.795526e-03,1.558198e-01,1964835.914,1.472068e+00,7.849753e+03,9.457956e-03,1.185026e-01,2122225.527,2.500000e-05,8.43,35.50
5,1.445772e+00,6.707263e+03,1.142912e-02,1.321509e-01,2067167.111,1.257808e+00,5.039763e+03,1.312674e-02,1.245130e-01,2092437.523,3.000000e-05,8.37,43.87
6,1.265622e+00,5.880130e+03,1.397181e-02,1.075781e-01,2169483.375,1.092694e+00,5.152104e+03,1.503339e-02,8.542986e-02,2265925.664,3.500000e-05,8.36,52.23
7,1.076264e+00,4.904576e+03,1.560504e-02,8.595118e-02,2278329.175,8.947556e-01,2.652672e+03,1.644113e-02,9.301543e-02,2239400.074,4.000000e-05,8.29,60.52
8,9.804530e-01,4.891904e+03,1.588522e-02,6.648208e-02,2404364.860,7.588236e-01,3.547639e+03,1.587019e-02,4.907156e-02,2489563.539,4.500000e-05,8.96,69.48
9,1.126895e+00,7.018402e+03,1.463266e-02,5.574574e-02,2463918.509,6.267718e-01,2.221594e+03,1.407731e-02,5.276786e-02,2457259.125,5.000000e-05,8.47,77.95
10,9.558303e-01,5.840231e+03,1.332904e-02,4.770336e-02,2540520.380,5.460888e-01,3.041542e+03,1.116643e-02,2.605406e-02,2675984.328,5.500000e-05,8.72,86.67
11,8.574944e-01,5.487244e+03,1.152982e-02,3.869436e-02,2609723.591,1.465083e+00,1.166828e+04,1.095373e-02,3.774352e-02,2557660.148,6.000000e-05,8.23,94.91
12,8.511203e-01,5.514570e+03,9.570225e-03,4.079221e-02,2591364.278,4.689001e-01,2.279195e+03,8.770732e-03,3.065467e-02,2638152.211,6.500000e-05,8.27,103.18
13,7.468188e-01,4.909159e+03,8.566655e-03,3.404727e-02,2645844.501,4.179254e-01,1.943943e+03,8.218634e-03,2.826896e-02,2671188.656,7.000000e-05,8.32,111.50
14,6.150740e-01,3.818733e+03,7.416037e-03,3.180808e-02,2684641.338,4.517153e-01,2.470698e+03,7.439510e-03,2.605007e-02,2708529.172,7.500000e-05,7.94,119.44
15,5.799732e-01,3.696941e+03,6.395296e-03,2.926523e-02,2708444.031,3.527299e-01,1.412140e+03,6.257965e-03,2.978724e-02,2640479.234,8.000000e-05,8.39,127.84
16,9.733773e-01,7.582155e+03,5.733581e-03,3.156520e-02,2666964.362,5.630370e-01,3.570652e+03,4.618331e-03,3.195769e-02,2567376.086,8.500000e-05,8.49,136.33
17,4.832289e-01,2.898343e+03,4.971358e-03,2.873620e-02,2694002.633,5.959662e-01,4.574043e+03,7.204666e-03,1.330306e-02,2998861.273,9.000000e-05,8.42,144.75
18,5.142614e-01,3.405690e+03,4.583522e-03,2.557144e-02,2738320.387,3.590644e-01,2.359817e+03,4.705204e-03,1.520614e-02,2790364.266,9.500000e-05,9.04,153.79
19,5.741558e-01,4.052129e+03,4.370403e-03,2.504777e-02,2706518.212,4.839273e-01,3.691936e+03,3.806652e-03,1.533343e-02,2793307.055,1.000000e-04,8.35,162.15
20,3.836650e-01,2.469569e+03,3.821634e-03,1.969835e-02,2783738.059,3.281715e-01,2.202215e+03,3.403665e-03,1.478266e-02,2804104.156,1.050000e-04,8.52,170.66
21,4.381360e-01,2.975243e+03,3.368119e-03,2.138611e-02,2768106.244,4.693752e-01,3.583596e+03,2.928306e-03,1.634651e-02,2741606.242,1.100000e-04,9.04,179.70
22,3.409681e-01,2.306952e+03,3.092716e-03,1.586917e-02,2802379.027,2.476519e-01,1.546580e+03,3.262117e-03,1.207455e-02,2797451.492,1.150000e-04,8.80,188.50
23,3.824067e-01,2.741958e+03,2.916828e-03,1.580852e-02,2784747.336,2.722452e-01,1.780418e+03,3.119532e-03,1.260163e-02,3219720.953,1.200000e-04,8.48,196.98
24,3.018474e-01,2.132974e+03,2.743931e-03,1.222215e-02,2833937.906,2.477987e-01,1.840436e+03,2.224977e-03,8.301067e-03,2781829.922,1.250000e-04,8.65,205.63
25,3.387648e-01,2.442033e+03,2.687782e-03,1.353672e-02,2807932.277,1.810729e-01,1.283057e+03,2.200635e-03,6.152171e-03,2919921.508,1.300000e-04,8.49,214.12
26,2.716021e-01,1.983118e+03,2.571294e-03,9.515471e-03,2845739.939,2.266097e-01,1.384090e+03,2.314260e-03,1.301163e-02,2699967.547,1.350000e-04,8.53,222.66
27,2.592135e-01,1.943950e+03,2.255183e-03,8.453351e-03,2853702.451,3.014774e-01,2.331996e+03,3.427698e-03,6.800170e-03,2816483.195,1.400000e-04,8.55,231.24
28,2.821597e-01,2.123522e+03,2.566298e-03,8.828901e-03,2846425.506,4.303319e-01,2.755053e+03,4.338723e-03,2.228788e-02,2604530.195,1.450000e-04,8.47,239.73
29,2.817489e-01,2.130703e+03,2.337447e-03,9.060815e-03,2842565.439,5.795695e-01,5.111557e+03,3.799043e-03,6.084682e-03,3132501.211,1.500000e-04,8.43,248.16
30,2.496770e-01,1.878731e+03,2.028648e-03,8.303493e-03,2863520.535,2.262882e-01,1.782751e+03,2.191638e-03,5.219349e-03,2873242.859,1.550000e-04,8.36,256.52
