point_id,zone_id,x_over_c,y_mm,z_mm,side,cp,pressure_kpa,shear_pa,mach_local,temp_k,rho_kg_m3,vel_m_s,residual_id
0,1,0.0,-610.0,-0.0206,upper,-3.1024,145.962,19.327,1.3437,336.27,1.5122,493.96,247943
1,1,0.00806,-610.0,0.0011,upper,-2.7548,140.962,17.738,1.3121,334.8,1.4667,481.28,87133
2,1,0.01613,-610.0,0.0032,upper,-2.4688,136.847,17.328,1.2799,333.6,1.4291,468.63,394973
3,1,0.02419,-610.0,0.0212,upper,-2.2161,133.21,16.442,1.2598,332.54,1.3955,460.53,692593
4,1,0.03226,-610.0,-0.0232,upper,-1.9604,129.532,16.737,1.2371,331.46,1.3614,451.51,175388
5,1,0.04032,-610.0,-0.0072,upper,-1.7597,126.644,15.939,1.2102,330.62,1.3345,441.13,583040
6,1,0.04839,-610.0,-0.0048,upper,-1.5345,123.404,16.896,1.1775,329.67,1.304,428.58,448157
7,1,0.05645,-610.0,0.0215,upper,-1.3233,120.364,16.256,1.137,328.78,1.2754,413.31,191986
8,1,0.06452,-610.0,0.0242,upper,-1.224,118.936,15.297,1.14,328.36,1.2618,414.13,321232
9,1,0.07258,-610.0,0.0057,upper,-1.0904,117.013,14.61,1.1201,327.8,1.2436,406.54,384907
10,1,0.08065,-610.0,0.0233,upper,-0.9345,114.771,12.409,1.0881,327.14,1.2222,394.54,519434
11,1,0.08871,-610.0,0.0038,upper,-0.8294,113.258,13.894,1.0686,326.7,1.2077,387.2,887296
12,1,0.09677,-610.0,0.0037,upper,-0.7397,111.969,14.276,1.0588,326.32,1.1953,383.44,596400
13,1,0.10484,-610.0,-0.0448,upper,-0.6844,111.172,14.238,1.04,326.09,1.1877,376.5,405027
14,1,0.1129,-610.0,-0.0167,upper,-0.5805,109.677,10.964,1.0282,325.65,1.1733,371.96,253591
15,1,0.12097,-610.0,-0.0213,upper,-0.4904,108.381,11.199,0.9979,325.28,1.1608,360.79,706400
16,1,0.12903,-610.0,0.0106,upper,-0.4909,108.388,12.925,0.9989,325.28,1.1608,361.16,405626
17,1,0.1371,-610.0,0.0029,upper,-0.4104,107.23,11.692,0.985,324.94,1.1496,355.94,795270
18,1,0.14516,-610.0,-0.0206,upper,-0.4059,107.165,12.052,0.9756,324.92,1.149,352.52,541007
