seq,session,level,module,msg_code,iter,elapsed_raw,resid_cont,resid_mom,resid_energy,cells_k,mem_mb,cpu_pct,gpu_util,node_id,rank,thread,queue_depth,retry,flag,checksum,note,free_text
0,sess-D,INFO,turb,5497,2933,3.076,0.0013974681615830248,0.001986590138849852,7.098186637106769e-05,2144,30477,26.1,77.9,28,140,10,46,2,1,4045ced2,stall,step 0 div
1,sess-A,DEBUG,solver,7708,3689,3.65,0.0021759416670244537,0.00018316289961383894,0.00016446266884583276,2962,3698,43.4,40.2,45,102,58,31,2,1,f36eb151,stall,step 1 hold
2,sess-C,ERROR,alloc,2818,3545,0.973,0.0026580941455342936,0.0003345518604018954,5.262276584746223e-06,4020,13430,61.7,45.3,8,149,8,9,2,1,b59a2fea,stall,step 2 hold
3,sess-C,ERROR,turb,8416,3471,15.733,0.0010132236056064525,0.00015169223889074801,3.641392989679387e-05,1350,6821,19.1,71.0,11,120,50,6,1,1,f1c83e5e,,step 3 hold
4,sess-D,INFO,post,3868,212,2.042,0.0008027952418738924,0.0014183889740422128,0.00024255087950495114,1607,18078,81.2,19.6,23,221,24,35,0,0,847e2015,stall,step 4 conv
5,sess-B,INFO,alloc,9024,2556,22.851,0.0007607947100901294,6.603257445059403e-05,2.044769880671243e-05,1496,12007,43.4,89.4,20,99,30,22,0,1,b0088c28,,step 5 flux
6,sess-C,INFO,solver,8235,3237,10.323,0.0004390975431650989,0.00010540004275173694,6.893678897280247e-05,2649,31708,29.0,15.0,16,144,25,16,3,0,70946b74,stall,step 6 div
7,sess-D,INFO,alloc,2954,4822,10.344,0.0017482397752902452,0.0004945824896470468,0.0001225967303843747,2131,14030,82.9,14.9,46,240,54,58,2,1,aa40b573,ok,step 7 conv
8,sess-B,INFO,mesh,6903,1350,20.575,0.0016700871925319416,0.0001790946457533777,1.4460433766418895e-05,1267,14476,32.4,1.5,33,56,50,41,2,1,5cd41130,skip,step 8 div
9,sess-A,INFO,post,2580,4009,6.597,0.0003106322299168069,0.0014146039424770538,0.00011573527175454175,1276,9580,47.7,9.8,6,202,3,1,1,1,f1cba365,skip,step 9 conv
10,sess-A,ERROR,alloc,5197,726,25.564,0.00037773394849195153,0.0010336200035838607,3.439055542507909e-05,2251,23502,90.9,5.9,7,172,32,32,1,0,74dfa584,skip,step 10 hold
11,sess-C,DEBUG,chem,6831,505,14.592,0.0002534891524471342,2.0951475559096588e-05,0.00032455063360110594,2404,29532,68.1,9.7,18,38,37,32,2,1,ac220993,stall,step 11 conv
12,sess-D,INFO,turb,7186,2646,21.949,0.0006618843332822945,0.001396611574345793,9.325703726046345e-05,3723,24244,43.9,76.9,2,241,14,62,1,1,c8bacc24,clamp,step 12 flux
13,sess-D,INFO,post,6196,4280,32.981,0.0008395035646874338,0.00039157957400810345,6.488076855908183e-05,915,24276,28.5,66.8,18,177,44,50,0,1,d37e6e6b,,step 13 div
14,sess-A,WARN,alloc,1518,4271,6.001,0.0010767291713510534,0.0019312216487283131,0.0003159476834613926,3128,8345,32.9,8.8,3,229,45,47,0,1,177b58aa,clamp,step 14 conv
15,sess-C,INFO,mesh,6476,2057,14.923,0.0008034213430805429,0.00039286026378037713,0.0002703196654327611,4075,20633,51.9,61.6,35,106,52,16,2,0,97cf16f8,,step 15 hold
16,sess-C,WARN,mesh,8795,1783,8.805,0.0019613439429578554,0.001505088822281879,0.00011345665081077035,2891,930,82.3,1.7,15,85,52,7,1,0,54d468e6,ok,step 16 flux
17,sess-D,TRACE,turb,3672,114,5.05,0.0014417820700168462,0.0004817228729950465,0.00020633103494972232,1222,26176,66.1,91.4,26,129,37,42,3,0,84065c26,stall,step 17 div
18,sess-D,WARN,bc,3075,2245,0.521,0.00020760548608496002,0.0025808464090398817,0.00010494152438113243,3915,28046,72.9,46.3,42,196,26,6,1,1,4babf2be,skip,step 18 hold
19,sess-D,INFO,alloc,2822,4122,2.102,0.00019962823943864234,0.0014092412407460304,4.4047567854934434e-05,1011,30611,12.2,75.6,47,247,45,61,3,0,f47241ec,,step 19 hold
20,sess-C,ERROR,chem,2336,4348,16.971,0.0003896556497911486,0.0006703968128078383,2.769053483098627e-05,2452,11077,26.9,73.4,3,155,15,63,1,1,e8e1094a,retry,step 20 flux
21,sess-B,DEBUG,alloc,2077,517,0.19,0.0003360364162283641,0.0010199215145702744,7.81485538012291e-06,2611,5625,31.4,70.6,29,18,44,49,3,1,1477f6a8,clamp,step 21 flux
22,sess-D,INFO,post,2202,508,25.496,0.002425979894584487,0.0005148174144588774,3.303015216559326e-05,2942,30366,93.2,8.9,41,154,29,52,0,0,ed4938b9,,step 22 div
23,sess-B,INFO,io,9565,715,11.418,0.00030679454463323054,0.002502743448891339,6.119036225864152e-05,2600,7870,32.6,21.0,2,139,50,50,1,0,54aab1b4,retry,step 23 flux
24,sess-A,INFO,chem,2053,2223,3.551,0.0035276195027063102,0.004670375083079137,7.034370499440208e-05,2444,21877,13.5,61.7,14,4,22,56,3,1,7bdb3ae6,retry,step 24 hold
25,sess-C,INFO,mesh,4130,2759,0.723,4.265769243069418e-05,0.004406384946214027,3.27993524222222e-06,3853,9895,44.4,67.4,36,83,41,37,0,0,0e18b93e,ok,step 25 hold
26,sess-A,INFO,io,7321,4164,0.293,0.0011123057908468113,0.00019947752036693432,2.3672294524965383e-05,1311,22690,28.8,73.4,15,161,0,27,2,0,ec03a5c8,clamp,step 26 div
27,sess-C,INFO,mesh,5497,4994,31.429,0.000449273766369474,0.00036084063522282174,2.7005441704946948e-05,3854,9172,95.8,87.1,12,31,58,33,2,1,c9484e1b,retry,step 27 hold
28,sess-B,INFO,bc,7105,1403,20.257,0.0012269279044412836,0.003767352819076121,1.5205216730895421e-05,3632,8830,37.9,32.5,30,74,28,14,3,1,0a9973fd,retry,step 28 hold
29,sess-A,INFO,io,2416,3955,20.326,0.0013507040959519034,0.0005375889428610587,5.3365578879102397e-05,3229,24753,31.9,67.9,25,15,27,61,1,0,440477c7,retry,step 29 div
30,sess-B,DEBUG,io,2972,3715,7.348,0.00017926286245816242,0.00030172687587147576,3.1404813906650565e-05,1037,4342,46.7,30.9,34,207,61,55,0,1,2dde52fd,skip,step 30 hold
31,sess-D,INFO,io,4730,1018,4.708,0.0021647423456094476,0.0008840512004656527,2.5073250024911682e-05,3852,31260,56.4,27.8,1,90,59,63,2,0,4dd4ef68,,step 31 div
32,sess-D,INFO,mesh,5968,4126,2.743,0.0035969466043942254,0.0022566307969091176,0.0001620088542042574,1132,15657,55.2,39.0,13,131,28,53,3,1,ae96d39e,stall,step 32 div
33,sess-D,ERROR,chem,2209,2956,1.408,0.0022166941209466433,0.0007099821188588405,0.00010620209196943487,2161,31406,33.1,92.5,36,50,3,50,1,1,e8081e8e,,step 33 hold
34,sess-B,DEBUG,mesh,7549,3677,40.25,0.0001794427377602729,0.00036995197872982525,4.928595569944339e-05,2964,7862,22.9,46.3,27,169,24,45,3,0,0d1951b7,stall,step 34 flux
35,sess-C,INFO,alloc,5909,1271,12.494,0.00137929607877373,0.0007460441925437637,6.800802077771213e-05,809,1685,30.5,19.0,35,40,38,26,3,1,81e07f56,skip,step 35 conv
36,sess-A,INFO,mesh,3805,469,5.426,0.0015181030809914098,0.000643911299956041,0.00011972161453225401,2614,26546,92.6,35.2,26,48,59,18,0,0,5840c975,skip,step 36 conv
37,sess-A,INFO,alloc,6465,1426,15.994,0.0008726365665895799,0.0007804913584561465,0.0002623461224990931,890,27628,35.1,33.6,20,121,41,43,2,0,cd6f4164,retry,step 37 div
38,sess-B,INFO,bc,6482,1946,2.704,0.0006600576314243848,0.003701221882348872,0.00013833113330818415,3439,3599,65.3,97.5,42,146,17,11,2,0,c706e19e,skip,step 38 hold
39,sess-D,INFO,chem,1423,3176,9.659,0.0011972574171250619,4.5778085818454205e-05,0.00011657745973179737,1104,14757,84.2,21.3,20,4,41,26,0,1,cc793325,retry,step 39 hold
40,sess-A,INFO,mesh,9697,4169,4.565,0.0015752068002721144,0.00019728832718872555,0.00030017324190374995,1235,9629,78.9,98.1,4,48,30,37,2,1,271c3c72,stall,step 40 div
41,sess-B,INFO,mesh,3571,4057,24.031,0.0005398023787465924,0.0002213904766198484,0.00010735819055347282,1931,5414,61.0,70.3,37,219,59,17,0,1,a6c20176,stall,step 41 div
42,sess-B,INFO,alloc,2463,4843,15.844,0.0004300572361504497,0.0020226165470531706,8.228681966621057e-05,1378,9317,58.7,27.0,45,4,53,13,2,0,daef5237,clamp,step 42 div
43,sess-A,INFO,turb,7879,3161,2.461,0.0007795594689857478,0.0019218484041689929,4.719323897284958e-06,4106,16925,22.3,24.3,4,226,52,24,0,0,3cfccab7,ok,step 43 div
44,sess-B,DEBUG,solver,6015,1513,24.017,0.001947147649621479,0.0008296632815222841,2.789244476550189e-05,3005,11808,19.3,95.8,46,138,35,43,0,0,54f83cdb,stall,step 44 conv
45,sess-A,WARN,alloc,8706,3990,7.996,0.00021558525341466232,0.0009116392059673313,6.3640118489976474e-06,2968,1743,62.2,52.0,26,57,13,19,0,0,4c4c5888,ok,step 45 flux
46,sess-C,INFO,solver,9300,4394,11.969,0.0010368141508338494,0.00048757341076035546,3.087539469603611e-05,1721,2397,34.6,65.1,4,161,42,63,1,0,f74a9989,ok,step 46 div
47,sess-C,DEBUG,mesh,2295,598,14.926,0.00019484287530760236,3.3087407174026744e-05,7.293672129358246e-05,1380,16676,82.9,67.2,18,186,5,62,1,1,04c8d912,skip,step 47 div
48,sess-A,WARN,chem,8683,2834,13.829,0.0008097718463445938,0.0007752432186672632,8.081543412295635e-05,4100,9221,94.6,78.9,36,215,23,27,0,0,a52b994d,retry,step 48 hold
49,sess-D,INFO,solver,7940,1225,0.254,0.0008884774146231119,0.0023033034196143637,1.8192463950590156e-05,2230,11316,39.8,83.9,23,100,10,44,1,0,2b5f08a7,clamp,step 49 flux
50,sess-C,INFO,io,4622,1748,6.486,0.00014964768946524568,0.0010456497375546411,0.00018360106963555113,3000,11500,66.2,49.7,17,225,39,15,0,1,14dd4e17,ok,step 50 flux
51,sess-D,DEBUG,turb,3585,184,19.159,0.001717607079773026,0.0018867172782505487,1.8248107018203837e-05,975,25827,50.4,57.0,6,190,59,39,0,0,d3c5039c,ok,step 51 div
52,sess-C,WARN,io,2218,1691,5.647,0.0011375878261804674,0.00012521591706307782,5.212485275249635e-05,3219,24927,53.4,99.9,20,69,42,8,3,0,a05af616,ok,step 52 flux
53,sess-C,DEBUG,solver,4517,1050,10.203,0.0008538127441143648,0.001009037531543953,0.00020468006857770496,2767,25941,56.1,52.9,43,1,23,6,3,0,8222cd77,,step 53 conv
54,sess-B,INFO,alloc,5538,3189,2.698,0.0013678310568911206,0.002747542947773083,1.2365063478064474e-05,3855,31521,27.9,17.5,7,238,26,23,2,1,64a5b058,,step 54 div
55,sess-D,INFO,mesh,7944,4012,19.083,0.00026671804308972465,0.00022849264090578497,6.387014007825294e-05,3540,3037,24.7,22.5,18,239,44,47,2,0,64b40815,ok,step 55 hold
56,sess-A,INFO,mesh,4330,2387,4.599,0.00040993719719755996,0.0015997714785758994,0.00013260458336331092,3908,16657,32.3,20.3,22,161,13,53,2,0,3dbfea53,clamp,step 56 hold
57,sess-D,DEBUG,turb,6874,667,6.762,0.000710673180226306,0.004111400632532418,0.0001384560789795265,4194,6404,49.3,52.1,36,205,17,21,1,1,4c003044,,step 57 div
58,sess-D,DEBUG,io,2011,357,0.918,0.0017411015349773297,0.004185467209976393,2.419288675246285e-05,2781,19404,73.2,97.2,7,154,19,9,1,0,186012d9,stall,step 58 hold
59,sess-B,WARN,bc,9709,2325,9.192,8.956049372408599e-05,0.0008458025892128144,0.00015357246494031993,3060,16758,21.4,63.3,23,98,27,56,3,1,e0685ee5,clamp,step 59 hold
60,sess-B,DEBUG,turb,2379,3215,39.872,0.002938310404557614,0.00018352817549957288,8.247997752423034e-05,814,5476,61.4,65.3,21,122,28,61,1,1,211fcc0a,retry,step 60 hold
61,sess-A,ERROR,bc,7217,1206,2.304,0.00027868506234482676,0.0010819685237205394,5.176565968026845e-05,3722,813,82.9,80.3,17,160,32,51,2,1,66a6be22,clamp,step 61 div
62,sess-D,ERROR,turb,8427,3275,6.898,0.00040477528146784053,0.0010000897059474637,0.00010299783774799394,3478,15848,15.7,4.4,42,112,13,1,1,1,b5e95a9f,stall,step 62 flux
63,sess-D,WARN,solver,9831,3704,27.861,5.257962031301756e-05,0.00048183584826785343,0.0004487681032741497,3744,17076,54.8,52.3,22,174,59,5,2,1,e9d62098,stall,step 63 flux
64,sess-C,TRACE,chem,1828,3929,1.671,0.0006427074190279447,0.00040718713860177203,7.418135886638489e-05,2618,16065,87.7,58.9,30,215,4,55,3,0,9b0a6cc6,retry,step 64 flux
65,sess-B,INFO,bc,7350,3558,3.033,0.0003240928555712164,0.0018649391961409502,7.516360568519697e-07,3909,4990,39.5,85.7,21,31,44,6,3,1,385e1d25,ok,step 65 flux
66,sess-D,WARN,bc,6339,3994,1.299,0.0003852096233469426,0.0022033627330322802,2.596070357740883e-05,2863,4416,70.1,60.5,28,77,17,28,0,0,ac546f7f,retry,step 66 flux
67,sess-D,DEBUG,io,8809,1495,13.152,0.00036400559269771,0.0009822926393357311,8.441808215075795e-05,3479,31408,24.9,67.4,15,25,1,35,3,1,4c32292d,stall,step 67 conv
68,sess-B,WARN,turb,1501,1401,19.565,0.0014560101801395584,0.0005535808285478395,6.920944094840986e-05,3422,24050,45.3,86.9,24,0,20,10,2,1,62620771,clamp,step 68 hold
69,sess-C,INFO,io,4992,4181,11.51,2.2054245432222308e-05,0.00023772950561570761,9.898187270388021e-05,3836,4311,98.6,99.4,39,45,63,43,0,0,b9b09a03,,step 69 conv
70,sess-D,INFO,mesh,6263,449,6.404,0.00017777696965524711,0.00019245502550109918,3.527603876954661e-05,1765,5024,39.3,71.6,31,249,55,55,3,1,66423753,stall,step 70 div
71,sess-A,INFO,turb,6710,4054,20.297,0.0003544921682960074,0.0001308976876956806,4.758838950702918e-06,1594,29434,30.4,54.6,23,6,31,30,0,1,49477843,ok,step 71 flux
72,sess-A,INFO,io,2508,67,2.016,0.002447178868703557,0.0013604833932366024,0.00013202618983498845,2736,22106,58.7,16.1,26,254,54,19,3,1,fbf300c9,ok,step 72 conv
73,sess-D,INFO,chem,9008,4817,7.336,0.0015395198357599385,0.0018829968224227406,3.842851790950309e-05,3953,27127,76.9,48.9,1,196,38,20,0,0,7b6294c9,skip,step 73 conv
74,sess-C,INFO,chem,7442,2815,12.558,2.451360686257983e-05,4.273838329004341e-05,6.657945351633683e-05,1646,21887,57.9,2.5,43,60,19,19,0,0,4872b214,clamp,step 74 hold
75,sess-C,INFO,io,2596,3863,20.682,7.968996550406101e-05,4.653112735723531e-05,0.00017116137673658518,2012,30070,95.3,33.9,41,31,9,52,1,0,5d9efe08,,step 75 hold
76,sess-B,TRACE,mesh,3611,3028,2.352,0.0012862883471144557,0.00048822683201578756,0.00025486645531569733,3535,27202,71.9,67.1,45,118,25,0,0,1,9d039e06,stall,step 76 div
77,sess-B,WARN,alloc,4996,3835,11.245,0.0006913015394587824,0.0008473720009661912,0.00012546949908863383,2339,10166,84.1,41.3,33,38,11,25,1,0,9ed0582f,skip,step 77 hold
78,sess-B,ERROR,post,5111,1161,9.436,0.0019434565824257232,0.0002790974775590279,3.405074046313174e-05,2743,12379,67.7,3.7,31,68,38,33,1,1,2de3276f,,step 78 conv
79,sess-C,DEBUG,mesh,9602,3170,1.98,0.0011041815256300058,0.00149425458783015,5.2156353463637564e-05,2886,29574,74.7,39.3,22,110,63,51,3,0,5e3238c7,clamp,step 79 div
80,sess-A,INFO,io,8655,4230,28.294,0.001401459706425627,0.0002053445374926273,4.665940640374781e-05,2174,580,33.1,88.3,32,156,38,23,1,1,aea52614,,step 80 hold
81,sess-C,INFO,turb,8812,2947,27.745,0.00029385754975906,4.436624026877495e-05,0.00048652545449431666,3202,28762,51.1,2.8,4,245,1,62,2,1,ab19db88,clamp,step 81 hold
82,sess-C,WARN,mesh,3138,1300,34.282,0.0006261274080471343,0.0008786081243847893,2.5208848052749522e-05,4153,2554,45.5,65.6,34,205,48,51,0,0,cb78c3d1,,step 82 div
83,sess-C,WARN,turb,5249,1667,16.792,0.003089211642765912,0.0001957294093853276,2.8443924891248053e-05,3360,8722,78.7,67.0,1,109,2,49,2,0,ce4f7414,stall,step 83 conv
84,sess-B,ERROR,alloc,4938,4664,0.615,0.003422622858015938,0.0003916905772813743,4.761260293434625e-05,2806,22033,79.8,71.0,43,124,54,19,0,1,09fb3dd6,ok,step 84 div
85,sess-B,WARN,bc,3333,1390,7.229,0.00019678035121251875,0.00013379938588601448,3.1132687875377894e-05,3760,30436,20.6,58.6,42,240,29,32,1,1,eaccfc0b,ok,step 85 conv
86,sess-C,ERROR,post,9820,1454,18.348,0.00019968462020507216,0.0014243607271870722,1.4264553148173637e-05,4145,30967,76.3,55.3,35,220,18,51,1,1,8e5f90f6,clamp,step 86 conv
87,sess-A,INFO,alloc,8431,2658,15.933,0.0008607519979674658,0.00021953250195936663,7.892651419826513e-05,2709,10543,75.9,34.7,5,25,3,1,1,0,ac2126e2,stall,step 87 hold
88,sess-B,INFO,io,2082,3493,1.005,0.0003860294825320941,0.0008053838289289357,4.2527591004099996e-05,1499,5672,50.1,90.0,38,227,10,54,3,0,7747a000,retry,step 88 flux
89,sess-A,WARN,chem,8324,4501,49.03,0.0001943849115779072,0.0010010310950390336,4.235942071777118e-05,1609,22800,84.9,82.7,45,163,60,32,3,1,2a63d08e,ok,step 89 div
90,sess-C,INFO,chem,3131,1685,2.893,2.4121083104675836e-05,0.0005064298566026385,0.00013535944537709687,3807,15372,92.7,14.1,37,49,42,11,0,1,c83aacdb,clamp,step 90 hold
91,sess-D,WARN,bc,2385,3981,36.722,0.0024182970040220334,0.0005218591837131032,0.00029732933479513263,964,29038,43.2,79.2,9,113,60,56,1,0,f939cead,skip,step 91 hold
92,sess-C,INFO,chem,4598,816,36.196,0.0002979942905761519,0.0010472634518869743,6.464988570864183e-05,2248,27860,61.0,44.8,36,23,46,13,0,1,47061cd4,skip,step 92 div
93,sess-C,WARN,alloc,1814,2313,45.89,0.0015731710142408946,5.37824427656443e-06,0.00021047151248925042,3039,31598,74.1,94.1,1,238,10,14,2,0,50dd1d31,clamp,step 93 flux
94,sess-C,INFO,post,3059,744,28.448,4.126896325185472e-05,6.75870999081203e-05,0.0001882134550479436,1308,13948,32.5,54.0,38,134,16,30,3,0,17c37236,stall,step 94 conv
95,sess-D,DEBUG,turb,6586,171,25.974,0.000474971705817985,0.002390754172694463,6.316614937129663e-06,2126,9779,60.3,13.0,8,251,32,56,3,0,9582f6d7,skip,step 95 div
96,sess-C,WARN,turb,4430,1200,0.516,0.002381694115930522,0.0009867546700696992,1.7567183479041564e-05,3111,14901,55.7,40.5,33,202,27,63,0,1,85c8415d,skip,step 96 hold
97,sess-D,WARN,mesh,9506,689,2.394,0.0002734080296310152,0.00020394064756054466,0.00013688482713286997,3769,9724,19.8,80.5,45,200,43,3,2,0,1dbfd6e7,stall,step 97 flux
98,sess-B,DEBUG,bc,1074,3856,10.019,0.00117300826035328,0.00018958096334894934,0.00017688615703471698,2972,32656,34.1,89.5,17,180,7,3,1,0,65374862,skip,step 98 conv
99,sess-C,INFO,bc,4298,4838,8.457,0.0009411988257852696,0.0017670837815174634,0.0003261659224297139,2054,7907,68.8,55.6,19,150,52,61,2,0,d409bad6,ok,step 99 conv
100,sess-C,WARN,alloc,1588,3281,16.568,0.0017502488261813848,0.00045404205732550544,6.646043196036781e-05,1897,7955,77.8,42.1,37,70,12,26,3,0,b513c754,clamp,step 100 flux
101,sess-C,DEBUG,chem,6952,4106,1.132,0.003224707605925115,0.0002784956014983257,0.00011253859039046652,2027,30600,65.6,23.8,15,150,55,56,3,1,ecc65e7d,skip,step 101 div
102,sess-C,INFO,mesh,9991,1507,0.379,0.00032510068266671687,0.0004640220466810481,0.0002123229097655631,1945,6467,27.8,32.7,19,163,5,48,3,1,8f110dc3,,step 102 div
103,sess-C,INFO,io,7306,2000,27.786,0.0017938126879127527,0.0020439966403940917,0.000220389323633724,1343,11464,93.4,90.3,45,101,40,9,2,0,bdd65f7a,clamp,step 103 flux
104,sess-B,DEBUG,solver,7131,2353,0.926,0.000834181516065244,0.00040538848222504865,5.803788068786725e-05,1499,15639,76.3,3.3,39,237,39,4,3,0,a1f94539,clamp,step 104 hold
105,sess-B,INFO,io,7176,1117,12.682,0.0011936329234338327,0.00107286876031046,0.00022526978475257035,2670,3390,92.4,19.4,9,147,1,59,2,1,1b8da44f,clamp,step 105 conv
106,sess-B,DEBUG,chem,6485,2906,16.4,0.0010679498542429087,0.00021035622683561993,8.580276661657547e-05,3363,25367,12.5,56.2,36,236,39,40,3,0,79c15098,stall,step 106 hold
107,sess-D,WARN,turb,4307,1650,18.438,0.00023075490378000746,0.0004998356411025908,1.3353560952058688e-05,3968,25768,96.5,72.4,5,106,6,38,2,0,850626dc,retry,step 107 hold
108,sess-D,WARN,bc,9193,3170,10.674,0.0008398820180842439,3.7002960153862154e-05,3.62453894346744e-05,2760,32353,46.0,58.9,4,224,21,34,1,0,83d8b7d7,clamp,step 108 hold
109,sess-C,DEBUG,alloc,6119,3287,5.186,0.00035256848784669174,0.0007454333512901869,4.653208177263646e-05,4075,30094,22.8,78.2,17,143,7,42,2,1,6ce68c46,clamp,step 109 conv
110,sess-A,INFO,mesh,5792,418,1.021,0.00037227226303958175,0.0009068314599394973,1.6226000778955642e-05,2984,23371,44.2,61.8,22,98,5,6,1,0,f4bf4a6b,ok,step 110 conv
111,sess-C,WARN,io,6694,604,14.255,0.0013709305967309082,0.000539592841063786,3.969370380990111e-05,3762,16058,29.4,4.0,13,196,30,48,2,0,c42b05e5,,step 111 hold
112,sess-A,WARN,post,5136,3634,2.927,0.0006577678948565757,0.0007569164993357144,5.771965639053396e-05,1798,16418,12.2,28.0,37,222,28,53,0,1,c81bd755,skip,step 112 flux
113,sess-D,TRACE,mesh,6060,3163,0.723,0.0007796598405137551,0.0005203334663017267,8.764516003095986e-05,2832,31373,79.7,69.9,27,212,33,54,1,0,4eccb951,stall,step 113 conv
