z_span,x_chord,side,cp,p_static_kpa,mach_local
-0.5,0.0,upper,-3.206,147.453,1.3554
-0.5,0.0,lower,3.1844,55.507,nan
-0.5,0.00629,upper,-2.9026,143.088,1.3172
-0.5,0.00629,lower,2.8775,59.922,nan
-0.5,0.01258,upper,-2.6154,138.956,1.2925
-0.5,0.01258,lower,2.6049,63.845,nan
-0.5,0.01887,upper,-2.334,134.907,1.2614
-0.5,0.01887,lower,2.3271,67.843,nan
-0.5,0.02516,upper,-2.1496,132.254,1.2455
-0.5,0.02516,lower,2.0272,72.157,nan
-0.5,0.03145,upper,-1.9548,129.451,1.2255
-0.5,0.03145,lower,1.838,74.879,nan
-0.5,0.03774,upper,-1.6935,125.691,1.1949
-0.5,0.03774,lower,1.6037,78.251,nan
-0.5,0.04403,upper,-1.5281,123.311,1.1765
-0.5,0.04403,lower,1.4664,80.226,nan
-0.5,0.05031,upper,-1.4051,121.541,1.1528
-0.5,0.05031,lower,1.4024,81.148,nan
-0.5,0.0566,upper,-1.2318,119.048,1.1422
-0.5,0.0566,lower,1.2054,83.981,nan
-0.5,0.06289,upper,-1.1005,117.158,1.1162
-0.5,0.06289,lower,1.0575,86.11,nan
-0.5,0.06918,upper,-0.943,114.893,1.0784
-0.5,0.06918,lower,1.0175,86.684,nan
-0.5,0.07547,upper,-0.9107,114.428,1.1014
-0.5,0.07547,lower,0.9126,88.195,nan
-0.5,0.08176,upper,-0.7935,112.741,1.0697
-0.5,0.08176,lower,0.788,89.987,nan
-0.5,0.08805,upper,-0.7155,111.62,1.056
-0.5,0.08805,lower,0.7629,90.349,nan
-0.5,0.09434,upper,-0.6315,110.411,1.0306
-0.5,0.09434,lower,0.6432,92.07,nan
-0.5,0.10063,upper,-0.5919,109.841,1.0246
-0.5,0.10063,lower,0.604,92.634,nan
-0.5,0.10692,upper,-0.5576,109.348,1.0126
-0.5,0.10692,lower,0.5358,93.616,nan
-0.5,0.11321,upper,-0.4734,108.136,0.9994
-0.5,0.11321,lower,0.5039,94.075,nan
-0.5,0.1195,upper,-0.42,107.368,0.9844
-0.5,0.1195,lower,0.4033,95.522,nan
-0.5,0.12579,upper,-0.3798,106.79,0.9748
-0.5,0.12579,lower,0.3816,95.835,nan
-0.5,0.13208,upper,-0.3325,106.109,0.9556
-0.5,0.13208,lower,0.3304,96.571,nan
-0.5,0.13836,upper,-0.2496,104.916,0.9451
-0.5,0.13836,lower,0.2956,97.071,nan
-0.5,0.14465,upper,-0.2707,105.22,0.9549
-0.5,0.14465,lower,0.2655,97.504,nan
-0.5,0.15094,upper,-0.2756,105.29,0.9508
-0.5,0.15094,lower,0.1791,98.748,nan
-0.5,0.15723,upper,-0.2156,104.427,0.9214
-0.5,0.15723,lower,0.2194,98.169,nan
-0.5,0.16352,upper,-0.2112,104.364,0.9221
-0.5,0.16352,lower,0.1988,98.464,nan
