time,pitot_p1,pitot_p2,pitot_p3,pitot_p4,static_p,temp_t1,vib_acc_x,vib_acc_y,vib_acc_z
0,112.414,114.593,117.483,113.381,98.7294,301.472,0.512536,-0.275667,0.705854
0.0005,114.511,116.367,117.826,nan,98.5841,301.442,3.18066,0.593279,1.6983
0.001,115.871,117.522,119.436,nan,98.6277,301.439,1.84706,2.33797,1.16993
0.0015,116.326,118.384,119.633,114.21,98.7936,301.398,2.16749,2.20269,1.16149
0.002,117.291,119.084,119.618,114.628,98.7714,301.461,2.87338,2.09928,0.966087
0.0025,117.722,118.744,121.167,113.519,98.8653,301.521,1.75178,0.442804,0.61716
0.003,118.37,118.933,120.602,nan,99.0734,301.6,1.18437,1.98458,-0.491142
0.0035,118.001,118.769,118.803,nan,99.0085,301.462,1.56057,1.7872,0.476927
0.004,118.022,118.159,117.807,111.495,99.1671,301.562,2.80337,2.96076,0.642829
0.0045,116.509,117.153,116.58,nan,99.0788,301.634,1.17609,0.495763,0.725731
0.005,117.522,115.998,115.908,nan,99.2734,301.638,0.28309,0.582527,-0.137959
0.0055,116.504,114.82,114.868,109.388,99.2686,301.574,-1.42371,-0.854776,0.778148
0.006,116.688,115.659,114.098,107.624,99.2571,301.693,-0.787797,-1.06286,1.07737
0.0065,116.418,114.292,112.536,106.808,99.2417,301.658,-1.93983,-1.73398,-0.856779
0.007,116.601,114.441,112.471,106.703,99.1724,301.723,-1.79203,-3.05136,-2.56398
0.0075,117.408,114.686,112.74,107.184,99.319,301.774,-0.429906,-1.88765,-1.71284
0.008,118.102,115.024,112.447,nan,99.404,301.696,-3.14841,-0.850674,-1.25854
0.0085,118.199,115.017,111.827,nan,99.3274,301.699,-2.18938,-0.728029,-1.62899
0.009,118.623,114.797,112.509,105.663,99.3502,301.874,-1.80001,0.284474,-1.57308
0.0095,119.15,115.03,112.885,nan,99.3546,301.788,-3.26693,-1.78309,-1.24912
0.0095,118.361,115.55,111.338,107.334,99.3699,301.825,-0.829369,-1.03463,-1.54887
0.0105,117.6,115.107,112.43,106.554,99.3525,301.823,1.14146,-0.586561,-0.647177
0.011,117.554,113.11,111.004,106.763,99.3148,301.887,3.48663,-0.85351,-1.25152
0.0115,115.941,112.304,110.753,107.398,99.3138,301.875,2.23281,0.451988,-1.35556
0.012,114.014,110.017,109.419,nan,99.3171,301.916,1.64887,0.137801,-0.0777371
0.0125,112.95,109.408,107.968,105.498,99.2779,302.009,0.645536,0.910192,-0.122003
0.013,111.563,108.258,106.587,104.698,99.1496,302.038,1.42598,0.392433,1.28568
0.0135,109.847,106.661,105.493,105.143,99.4164,302.063,2.41544,3.07757,0.224158
0.014,108.536,106.578,104.442,104.974,99.1536,302.027,1.2851,1.01061,0.902042
